post_id;hashtags
3002779485444475811;autoestima
3002779485444475811;psicologofortalezaceara
3002779485444475811;psiirenildamendes
3001929835576457717;psicologofortaleza
3001929835576457717;psicologoonline
3001929835576457717;psicologiaclinica
3001929835576457717;ansiedade
3001929835576457717;autocuidado
3001929835576457717;autoestima
3001929835576457717;psicologiaperinatal
3001929835576457717;psicologainfantil
2993320285757189416;
2989696440850788882;
2986797296126802627;
2981689086202254066;psicoterapiaonline
2981689086202254066;psicoterapiaparatodos
2981689086202254066;psicoterapiafazbem
2981689086202254066;psicologaclinica
2981689086202254066;psicólogofortaleza
2972803484064718472;atendimentopsicologico
2972803484064718472;psicologofortaleza
2972803484064718472;psicóloga
2972803484064718472;psicoterapia
2967742295693103562;
2957065294590730654;psicoterapiaonline
2957065294590730654;psicoterapiaparatodos
2957065294590730654;psicoterapiafazbem
2957065294590730654;psicologaclinica
2957065294590730654;psicologofortaleza
2957065294590730654;psicoterapia
2956246430571647531;psicologofortaleza
2956246430571647531;psicologoonline
2956246430571647531;psicoterapia
2956246430571647531;autocuidado
2956246430571647531;saudemental
2956246430571647531;saudedamulher
2952749222538707342;outubrorosa
2952749222538707342;cancerdemama
2952749222538707342;autocuidado
2952749222538707342;psicologofortaleza
2952749222538707342;psicologiaonline
2952749222538707342;psicóloga
2949029493533664004;psicologofortaleza
2949029493533664004;psicologoonline
2949029493533664004;psicoterapia
2949029493533664004;saudemental
2949029493533664004;saudedamulher
2947419443051737848;saudemental
2947419443051737848;psicoterapia
2947419443051737848;psicologoonline
2947419443051737848;psicologofortaleza
2947419443051737848;gerandoafeto
2946753691654376231;saudementalimporta
2946753691654376231;saudementalparatodos
2946753691654376231;saúdementaleemocional
2946753691654376231;psicologosonline
2946753691654376231;psicologofortaleza
2946753691654376231;psiirenildamendes
2946028966112720755;saudementalimporta
2946028966112720755;saudementalparatodos
2946028966112720755;saúdementaleemocional
2946028966112720755;psicologosonline
2946028966112720755;psicologofortaleza
2946028966112720755;psiirenildamendes
2944035542984880986;autoconhecimento
2944035542984880986;saudemental
2944035542984880986;terapiaonline
2944035542984880986;psicologiaparatodos
2944035542984880986;psicologofortaleza
2944035542984880986;psiirenildamendes
2944035542984880986;gerandoafetos
2932106933994588427;setembroamarelo
2932106933994588427;prevencaoaosuicidio
2932106933994588427;saúdemental
2932106933994588427;cuidadocomavida
2932106933994588427;campanhasetembroamarelo
2931512459702217369;
2914194148455772016;
2904664634260224291;
2901092586161527811;agostodourado
2901092586161527811;amamentandocomamor
2901092586161527811;amamentação
2901092586161527811;maternidade
2901092586161527811;psicoterapia
2884392852034816354;psicoterapiaonline
2884392852034816354;terapia
2884392852034816354;maternidade
2884392852034816354;maternidadereal
2884392852034816354;psicologiaclinica
2884392852034816354;psicologiaperinatal
2883547255282671649;psicoterapia
2883547255282671649;psicoterapiaonline
2883547255282671649;maternidade
2883547255282671649;gestante
2883547255282671649;posparto
2883547255282671649;psicologiaperinatal
2882973253011196401;violenciaobstetrica
2882973253011196401;violênciaobstétricaexiste
2882973253011196401;maternidade
2882973253011196401;gestacao
2882973253011196401;posparto
2882973253011196401;psicoterapiaonline
2882973253011196401;psicologiaclinica
2882973253011196401;psicologíaperinatal
2880980044849469862;maternidade
2880980044849469862;psicologiaclinica
2880980044849469862;psicoterapia
2880980044849469862;saudemental
2880980044849469862;saudementaldamulher
2880980044849469862;saúdementalmaterna
2880980044849469862;mãe
2880980044849469862;mulher
2880980044849469862;autocuidado
2879978194409357592;
2837358799391953381;autoestima
2837358799391953381;autocuidado
2837358799391953381;autoestimaeautocuidado
2837358799391953381;maternidadereal
2837358799391953381;saudementalmaternaimporta
2837358799391953381;maiofurtacor2022
2834564527695949879;
2833692311483497909;mãe
2833692311483497909;felizdiadasmaes
2833692311483497909;mulher
2833692311483497909;psicoterapiaonline
2833692311483497909;psicologiaclinica
2831690312176491962;saudementalmaternaimporta
2831690312176491962;maiofurtacor2022
2831690312176491962;maternidade
2831690312176491962;maternidadereal
2830215539459079787;autocuidado
2830215539459079787;autocuidadomental
2830215539459079787;autocuidadofemenino
2830215539459079787;autoestima
2830215539459079787;autoestimafeminina
2830215539459079787;mulher
2830215539459079787;saudemental
2828482895704500672;psicoterapiaonline
2828482895704500672;processo
2828482895704500672;mudanças
2828482895704500672;tempo
2828482895704500672;psicologia
2828482895704500672;psicoterapia
2827114753711302409;
2810449908766566259;
2809235602052622185;paternidade
2809235602052622185;maternidade
2809235602052622185;maternidadereal
2809235602052622185;psicologiaperinatal
2809235602052622185;psicoterapiaonline
2809235602052622185;perinatalidade
2809235602052622185;amamentacao
2809235602052622185;amamentar
2809235602052622185;pai
2807015950127758108;
2796894626365782917;psicologia
2796894626365782917;psicologiadodesenvolvimento
2796894626365782917;parentalidadeconsciente
2796894626365782917;adolescencia
2796894626365782917;dicadefilme
2796894626365782917;psicologiaclinica
2789361839787853093;8demarço
